1A	440.526
1B	630.725
1C	422.682
1D	235.081
1E	876.915
1F	777.557
1G	322.529
1H	810.678
2A	866.315
2B	680.595
2C	873.423
2D	544.795
2E	533.531
2G	510.064
2H	366.582
3A	405.992
3B	700.977
3C	436.381
3D	722.670
3E	570.843
3F	579.526
3G	267.448
3H	582.096
4A	212.435
4B	624.218
4C	378.009
4D	539.331
4E	605.984
4F	668.826
4G	400.639
4H	857.534
5A	431.191
5B	383.694
5C	557.698
5D	821.622
5E	744.071
5F	701.957
5G	802.749
6A	441.182
6B	697.011
6C	478.845
6D	520.739
6E	191.802
6F	850.760
6G	462.054
6H	859.141
7A	373.347
7B	737.386
7D	387.760
7E	685.270
7F	606.974
7G	507.130
7H	594.419
8A	782.741
8B	286.941
8C	324.002
8D	263.359
8E	202.475
8F	657.931
8G	364.377
8H	835.879
9A	209.292
9B	789.198
9C	635.450
9D	533.954
9E	392.273
9F	790.832
9H	716.325
10A	292.049
10B	222.439
10C	310.498
10D	708.450
10E	819.361
10F	516.117
10G	799.220
10H	729.724
11A	572.804
11C	523.299
11D	259.605
11E	192.761
11F	242.374
11G	524.923
12A	835.803
12B	528.223
12C	482.864
12D	776.234
12F	481.525
12G	718.514
12H	517.943
